1,ajddou,ⴰⵊⴷⴷⵓ,إبريق
2,addar,ⴰⴷⴷⴰⵔ,جرف حاد أو هاوية
3,ajrniḍ,ⴰⵊⵔⵏⵉⴹ,عنق
4,ajrou,ⴰⵊⵔⵓ,ضفدع
5,ajḍiḍ,ⴰⵊⴹⵉⴹ,طائر
6,aminoun,ⴰⵎⵉⵏⵓⵏ,مجنون
7,iḍnni,ⵉⴹⵏⵏⵉ,ذالك النهار
8,ayllid,ⴰⵢⵍⵍⵉⴷ,ملك
9,ajmmaḍ,ⴰⵊⵎⵎⴰⴹ,ماوراء الضفة المقابلة
10,tisda,ⵜⵉⵙⴷⴰ,لبوؤة
11,tisla,ⵜⵉⵙⵍⴰ,نعل (صاندال)
12,itri,ⵉⵜⵔⵉ,نجمة
13,akham,ⴰⵅⴰⵎ,منزل
14,asrkous,ⴰⵙⵔⴽⵓⵙ,كذب
15,akhnnous,ⴰⵅⵏⵏⵓⵙ,صغير الخنزير
16,adbir,ⴰⴷⴱⵉⵔ,حمامة
17,ghanimouḍar,ⵖⴰⵏⵉⵎⵓⴹⴰⵔ,ساق
18,adjaj,ⴰⴷⵊⴰⵊ,رعد
19,chal,ⵛⴰⵍ,تراب
20,adrar,ⴰⴷⵔⴰⵔ,جبل
21,idmarn,ⵉⴷⵎⴰⵔⵏ,صدر
22,toudrt,ⵜⵓⴷⵔⵜ,حياة
23,adidi,ⴰⴷⵉⴷⵉ,جرح
24,tisghart,ⵜⵉⵙⵖⴰⵔⵜ,حق
25,ou,ⵓ,ابن
26,akrri,ⴰⴽⵔⵔⵉ,كبش
27,ardn,ⴰⵔⴷⵏ,قمح
28,arkti,ⴰⵔⴽⵜⵉ,عجينة
29,arn,ⴰⵔⵏ,دقيق
30,ziri,ⵣⵉⵔⵉ,قمر
31,arroḍ,ⴰⵔⵔⵓⴹ,ملابس
32,ari,ⴰⵔⵉ,حلفاء
33,aryaz,ⴰⵔⵢⴰⵣ,رجل
34,timzyida,ⵜⵉⵎⵣⵢⵉⴷⴰ,مسجد
35,adir,ⴰⴷⵉⵔ,سهل بين الجبال
36,ażro,ⴰⵥⵔⵓ,صخرة
37,angoul,ⴰⵏⴳⵓⵍ,بسكويت
38,azghar,ⴰⵣⵖⴰⵔ,غزالة
39,aka,ⴰⴽⴰ,حبة قمح أو ذرة
40,az99a,ⴰⵣⵇⵇⴰ,سطح، شُرفة
41,fouyt,ⴼⵓⵢⵜ,شمس
42,anjan,ⴰⵏⵊⴰⵏ,اوساخ
43,awdad,ⴰⵡⴷⴰⴷ,حيوان الاروي
44,azllif,ⴰⵣⵍⵍⵉⴼ,رأس
45,azmmour,ⴰⵣⵎⵎⵓⵔ,زيتون
46,azwr,ⴰⵣⵡⵔ,عرق
47,as,ⴰⵙ,نهار
48,asrdoun,ⴰⵙⵔⴷⵓⵏ,بغل
49,asghoun,ⴰⵙⵖⵓⵏ,حبل
50,ajdi,ⴰⵊⴷⵉ,رمل
51,asggas,ⴰⵙⴳⴳⴰⵙ,سنة
52,amnay,ⴰⵎⵏⴰⵢ,فارس
53,isli,ⵉⵙⵍⵉ,عريس
54,aslif,ⴰⵙⵍⵉⴼ,زوج نسيبة الزوج
55,asennan,ⴰⵙⴻⵏⵏⴰⵏ,شوكة
56,tighouni,ⵜⵉⵖⵓⵏⵉ,حذاء
57,asinou,ⴰⵙⵉⵏⵓ,سحاب
58,tafdent,ⵜⴰⴼⴷⴻⵏⵜ,اصبع القدم
59,achrrib,ⴰⵛⵔⵔⵉⴱ,أغنية
60,achkroḍ,ⴰⵛⴽⵔⵓⴹ,ظلف الحيوان
61,jij,ⵊⵉⵊ,وتد
62,achnkour,ⴰⵛⵏⴽⵓⵔ,عرف الديك
63,asfd,ⴰⵙⴼⴷ,شعلة
64,iman,ⵉⵎⴰⵏ,روح
65,iḍs,ⵉⴹⵙ,نوم
66,aḍkal,ⴰⴹⴽⴰⵍ,صهر أو النسيب
67,swit,ⵙⵡⵉⵜ,فتاة
68,adouf,ⴰⴷⵓⴼ,نخاع
69,tazouwḍa,ⵜⴰⵣⵓⵡⴹⴰ,صحن
70,a9rdal,ⴰⵇⵔⴷⴰⵍ,رئيس
71,a9ouban,ⴰⵇⵓⴱⴰⵏ,امّي
72,anrzaf,ⴰⵏⵔⵣⴰⴼ,مسافر
73,iḍomi,ⵉⴹⵓⵎⵉ,أي يوم؟
74,aṣay,ⴰⵚⴰⵢ,كلب سلوقي
75,tijmrt,ⵜⵉⵊⵎⵔⵜ,فرس
76,aghras,ⴰⵖⵔⴰⵙ,جبح النحل
77,aghrda,ⴰⵖⵕⴹⴰ,فأر
78,aghzdis,ⴰⵖⵣⴷⵉⵙ,جانب
79,aghlal,ⴰⵖⵍⴰⵍ,حلزون
80,aghmbou,ⴰⵖⵎⴱⵓ,وجه
81,lktou,ⵍⴽⵜⵓ,سرير
82,aghnja,ⴰⵖⵏⵊⴰ,مغرف
83,tiddt,ⵜⵉⴷⴷⵜ,حقيقة
84,tirghi,ⵜⵉⵔⵖⵉ,حرارة
85,aghil,ⴰⵖⵉⵍ,ذراع
86,taghnint,ⵜⴰⵖⵏⵉⵏⵜ,غرفية أو زلافة
87,aghbal,ⴰⵖⴱⴰⵍ,منبع
88,affer,ⴰⴼⴼⴻⵔ,جناح
89,amsgar,ⴰⵎⵙⴳⴰⵔ,التقاء
90,tidght,ⵜⵉⴷⵖⵜ,إبط
91,af9louj,ⴰⴼⵇⵍⵓⵊ,بصل
92,afounas,ⴰⴼⵓⵏⴰⵙ,ثور
93,tiḍouna,ⵜⵉⴹⵓⵏⴰ,مدرجات فلاحية في الجبل
94,a9zin,ⴰⵇⵣⵉⵏ,جرو
95,la9mmi,ⵍⴰⵇⵎⵎⵉ,عندما
96,ayrziz,ⴰⵢⵔⵣⵉⵣ,أرنب
97,wah,ⵡⴰⵀ,نعم
98,afkhsi,ⴰⴼⵅⵙⵉ,شق
99,abyas,ⴰⴱⵢⴰⵙ,حزام
100,tisar,ⵜⵉⵙⴰⵔ,اضراس
101,a9iḍon,ⴰⵇⵉⴹⵓⵏ,خيمة
102,ila9,ⵉⵍⴰⵇ,وقت
103,ourtou,ⵓⵔⵜⵓ,جنة
104,tamsliwt,ⵜⴰⵎⵙⵍⵉⵡⵜ,حاسة السمع
105,tijli,ⵜⵉⵊⵍⵉ,حفنة
106,irs,ⵉⵔⵙ,فصل الشتاء
107,tibrt,ⵜⵉⴱⵔⵜ,جمرة
108,nnihntin,ⵏⵏⵉⵀⵏⵜⵉⵏ,هن
109,agla,ⴰⴳⵍⴰ,رزق
110,timwidnt,ⵜⵉⵎⵡⵉⴷⵏⵜ,مرض قليل
111,ntch,ⵏⵜⵛ,انا
112,tchem,ⵜⵛⴻⵎ,انتي
113,kennint,ⴽⴻⵏⵏⵉⵏⵜ,انتن
114,ils,ⵉⵍⵙ,لسان-لغة
115,alghm,ⴰⵍⵖⵎ,جمل
116,alghid,ⴰⵍⵖⵉⴷ,أبيات مغناة في الأعراس
117,fighr,ⴼⵉⵖⵔ,ثعبان
118,zinjr,ⵣⵉⵏⵊⵔ,عفن
119,alkoḍ,ⴰⵍⴽⵓⴹ,سوط
120,askkan,ⴰⵙⴽⴽⴰⵏ,تعليم
121,alous,ⴰⵍⵓⵙ,صهر الزوج
122,alizar,ⴰⵍⵉⵣⴰⵔ,لعاب
123,alili,ⴰⵍⵉⵍⵉ,دفلى
124,alinti,ⴰⵍⵉⵏⵜⵉ,راعي
125,amjr,ⴰⵎⵊⵔ,منجل
126,amddoukl,ⴰⵎⴷⴷⵓⴽⵍ,صديق
127,toufin,ⵜⵓⴼⵉⵏ,كبرياء
128,amrwas,ⴰⵎⵔⵡⴰⵙ,دين أو سلف
129,amżiw,ⴰⵎⵥⵉⵡ,غول
130,askiḍ,ⴰⵙⴽⵉⴹ,سيف
131,tiza,ⵜⵉⵣⴰ,سلخ
132,amzour,ⴰⵎⵣⵓⵔ,جليل أو مهيب
133,amzday,ⴰⵎⵣⴷⴰⵢ,سائل نقي وصافي
134,imiziḍ,ⵉⵎⵉⵣⵉⴹ,حلو
135,bzzez,ⴱⵣⵣⴻⵣ,رغما
136,tazit,ⵜⴰⵣⵉⵜ,صدع في الارض
137,amzloḍ,ⴰⵎⵣⵍⵓⴹ,فقير
138,amzwr,ⴰⵎⵣⵡⵔ,شعر مظفور
139,azoukan,ⴰⵣⵓⴽⴰⵏ,شعر العانة
140,tazmrt,ⵜⴰⵣⵎⵔⵜ,استطاعة
141,amiriw,ⴰⵎⵉⵔⵉⵡ,عريض
142,araf,ⴰⵔⴰⴼ,قلي
143,irdli,ⵉⵔⴷⵍⵉ,بخل
144,trakna,ⵜⵔⴰⴽⵏⴰ,سجاد من صوف
145,awragh,ⴰⵡⵔⴰⵖ,ذهب
146,yelli,ⵢⴻⵍⵍⵉ,بنتي
147,iragh,ⵉⵔⴰⵖ,ملك الموت
148,middn,ⵎⵉⴷⴷⵏ,ناس
149,wachoun,ⵡⴰⵛⵓⵏ,عائلة
150,alagh,ⴰⵍⴰⵖ,عميق
151,al9a9,ⴰⵍⵇⴰⵇ,ناعم
152,awki,ⴰⵡⴽⵉ,إدراك
153,tikourda,ⵜⵉⴽⵓⵔⴷⴰ,سرقة
154,takrza,ⵜⴰⴽⵔⵣⴰ,حرث
155,aklal,ⴰⴽⵍⴰⵍ,اهل
156,ichoul,ⵉⵛⵓⵍ,معي دقيق
157,maknaw,ⵎⴰⴽⵏⴰⵡ,على غرار أو كما هو الشان
158,akmin,ⴰⴽⵎⵉⵏ,كومة وسط الحقل
159,abjlal,ⴰⴱⵊⵍⴰⵍ,قضيب
160,aywal,ⴰⵢⵡⴰⵍ,طبل طويل
161,ayyir,ⴰⵢⵢⵉⵔ,مساحة خضراء
162,ayrraw,ⴰⵢⵔⵔⴰⵡ,اجتمعاع شيوخ القبيلة
163,ichmir,ⵉⵛⵎⵉⵔ,شخص صعب فظ
164,animar,ⴰⵏⵉⵎⴰⵔ,صياد
165,izir,ⵉⵣⵉⵔ,جزيرة
166,atchil,ⴰⵜⵛⵉⵍ,رايب
167,aghraw,ⴰⵖⵔⴰⵡ,يد الكاس
168,a99a,ⴰⵇⵇⴰ,ها هو
169,ighmi,ⵉⵖⵎⵉ,دفع
170,tighouni,ⵜⵉⵖⵓⵏⵉ,إعاقة
171,aboukhsi,ⴰⴱⵓⵅⵙⵉ,انقراض أو اخماذ
172,i99i,ⵉⵇⵇⵉ,جنس
173,a9ernennay,ⴰⵇⴻⵔⵏⴻⵏⵏⴰⵢ,متشرد
174,isma,ⵉⵙⵎⴰ,اخوات
175,7ouma,ⵃⵓⵎⴰ,لكي
176,simḍa,ⵙⵉⵎⴹⴰ,انتهاء
177,inemlel,ⵉⵏⴻⵎⵍⴻⵍ,زلزال
178,amjoun,ⴰⵎⵊⵓⵏ,صدفة البحر
179,irar,ⵉⵔⴰⵔ,لعب
180,timna,ⵜⵉⵎⵏⴰ,اقوال
181,zoumbi,ⵣⵓⵎⴱⵉ,ذرة
182,tfiza,ⵜⴼⵉⵣⴰ,حيوان صغير
183,aklil,ⴰⴽⵍⵉⵍ,جبن
184,lal,ⵍⴰⵍ,سيدة
185,dad,ⴷⴰⴷ,سيد
186,amtl,ⴰⵎⵜⵍ,لعنة
187,afdiz,ⴰⴼⴷⵉⵣ,مطرقة
188,azḍi,ⴰⵣⴹⵉ,عملية قياس الطول
189,abrsi,ⴰⴱⵔⵙⵉ,كتلة تراب
190,tatout,ⵜⴰⵜⵓⵜ,نسيان
191,adrn,ⴰⴷⵔⵏ,بلوط
192,idid,ⵉⴷⵉⴷ,مؤن سائلة مخزنة
193,isagh,ⵉⵙⴰⵖ,فتحة
194,ardou,ⴰⵔⴷⵓ,اقحوان
195,tfirs,ⵜⴼⵉⵔⵙ,إجاص
196,tmoughli,ⵜⵎⵓⵖⵍⵉ,نظرة
197,bourn,ⴱⵓⵔⵏ,متوحش بربري
198,amsrou9,ⴰⵎⵙⵔⵓⵇ,ممر
199,oufough,ⵓⴼⵓⵖ,مخرج
200,badou,ⴱⴰⴷⵓ,متراس
201,taka,ⵜⴰⴽⴰ,مساحة
202,kal,ⴽⴰⵍ,مساحة
203,achbar,ⴰⵛⴱⴰⵔ,حفرة
204,a9doud,ⴰⵇⴷⵓⴷ,قضيب طفل غير مختن
205,takhna,ⵜⴰⵅⵏⴰ,شرج
206,tou9ouri,ⵜⵓⵇⵓⵔⵉ,جفاف
207,anyam,ⴰⵏⵢⴰⵎ,ساقي
208,tayti,ⵜⴰⵢⵜⵉ,عين (حسد)
209,oujenna,ⵓⵊⴻⵏⵏⴰ,سماء
210,abl,ⴰⴱⵍ,شفر العين
211,aysoum,ⴰⵢⵙⵓⵎ,لحم
212,al,ⴰⵍ,حتى
213,da,ⴷⴰ,هنا
214,dou/di,ⴷⵓ/ⴷⵉ,في
215,tou,ⵜⵓ,هذه
216,inou,ⵉⵏⵓ,لي
217,ounli,ⵓⵏⵍⵉ,ليس
218,if,ⵉⴼ,احسن
219,archil,ⴰⵔⵛⵉⵍ,زواج
220,tnaghit,ⵜⵏⴰⵖⵉⵜ,حيرة
221,wikd,ⵡⵉⴽⴷ,مع من
222,ammou,ⴰⵎⵎⵓ,هكذا
223,tisdnan,ⵜⵉⵙⴷⵏⴰⵏ,عشيقات
224,youlilla,ⵢⵓⵍⵉⵍⵍⴰ,مضيئ
225,abṭṭo,ⴰⴱⵟⵟⵓ,مشاركة
226,abghor,ⴰⴱⵖⵓⵔ,فائدة أو مصلحة
227,tafḍna,ⵜⴰⴼⴹⵏⴰ,صحن من حديد
228,maydi,ⵎⴰⵢⴷⵉ,في ماذا
229,wikid,ⵡⵉⴽⵉⴷ,برفقة من
230,tous tlata,ⵜⵓⵙ ⵜⵍⴰⵜⴰ,ثالثة
231,jar,ⵊⴰⵔ,مابين
232,mamkh,ⵎⴰⵎⵅ,كم
233,zikh ntta,ⵣⵉⵅ ⵏⵜⵜⴰ,إذا هو
234,oult,ⵓⵍⵜ,عزباء
235,moumi,ⵎⵓⵎⵉ,لمن
236,ab9i,ⴰⴱⵇⵉ,صينية كبيرة
237,amdoul,ⴰⵎⴷⵓⵍ,نعل
